Raw,Mapped
آشنایی باالزامات دستورالعمل شرایط و ضوابط خدمات پس از فروش بازنگری 4,آشنایی با دستورالعمل شرایط و ضوابط خدمات پس از فروش بازنگری 4
اصول سرپرستی,اصول سر پرستی
کارتیمی disc,کار تیمیdisc
آشناییباالزاماتدستورالعملشرایطوضوابطخدماتپسازفروشبازنگری4,آشناییبادستورالعملشرایطوضوابطخدماتپسازفروشبازنگری4
آشناییبادستورالعملشرایطوضوابطوارزیابیفروش,آشناییبادستورالعملشرایطوضوابطارزیابیفروش
